PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,75,46,29,2375,259,62,117,53,32,40,80,166,64.1,85,32.8,18,6.9,23,8.9,20,7.7
Aaron Henry,PHI,6,6,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Holiday,PHX,63,34,29,1021,401,77,167,46.1,27,30,90,185,46.1,179,44.6,52,13,30,7.5,15,3.7
Aaron Nesmith,BOS,52,32,20,574,70,16,29,55.2,6,6,100,42,60,24,34.3,1,1.4,9,12.9,3,4.3
Aaron Wiggins,OKC,50,13,37,1209,203,40,87,46,26,39,66.7,112,55.2,78,38.4,16,7.9,15,7.4,19,9.4
Abdel Nader,PHX,14,11,3,145,29,3,14,21.4,1,2,50,7,24.1,9,31,2,6.9,3,10.3,1,3.4
Ade Murkey,SAC,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,ORL,38,10,28,469,44,14,23,60.9,9,10,90,37,84.1,13,29.5,4,9.1,2,4.5,5,11.4
Ahmad Caver,IND,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Horford,BOS,68,46,22,1974,83,20,32,62.5,17,19,89.5,58,69.9,37,44.6,8,9.6,3,3.6,9,10.8
Alec Burks,NYK,80,36,44,2280,499,72,208,34.6,86,113,76.1,241,48.3,186,37.3,44,8.8,24,4.8,56,11.2
Aleem Ford,ORL,5,2,3,74,6,2,3,66.7,0,0,0,4,66.7,1,16.7,1,16.7,2,33.3,0,0
Aleksej Pokusevski,OKC,61,19,42,1233,240,29,75,38.7,15,18,83.3,74,30.8,123,51.3,26,10.8,24,10,9,3.8
Alex Caruso,CHI,41,24,17,1147,164,24,58,41.4,15,18,83.3,64,39,84,51.2,18,11,9,5.5,9,5.5
Alex Len,SAC,39,17,22,620,13,8,11,72.7,0,0,0,18,138.5,0,0,0,0,2,15.4,0,0
Alfonzo McKinnie,CHI,17,8,9,206,16,3,9,33.3,1,2,50,7,43.8,2,12.5,0,0,4,25,1,6.3
Alize Johnson,NOP,23,14,9,167,8,0,5,0,0,0,0,0,0,2,25,1,12.5,1,12.5,0,0
Alperen Sengun,HOU,72,18,54,1489,243,47,113,41.6,44,58,75.9,142,58.4,66,27.2,11,4.5,21,8.6,29,11.9
Amir Coffey,LAC,68,33,35,1541,209,56,105,53.3,36,39,92.3,154,73.7,69,33,11,5.3,12,5.7,20,9.6
Andre Drummond,BKN,73,42,31,1437,70,16,39,41,10,14,71.4,43,61.4,15,21.4,1,1.4,8,11.4,7,10
Andre Iguodala,GSW,30,20,10,583,23,4,6,66.7,2,2,100,10,43.5,15,65.2,3,13,1,4.3,1,4.3
Andrew Wiggins,GSW,72,47,25,2298,494,104,213,48.8,59,91,64.8,272,55.1,192,38.9,30,6.1,29,5.9,45,9.1
Anfernee Simons,POR,57,25,32,1681,432,103,204,50.5,41,47,87.2,251,58.1,156,36.1,38,8.8,36,8.3,23,5.3
Anthony Davis,LAL,40,17,23,1404,107,35,57,61.4,14,20,70,90,84.1,23,21.5,7,6.5,14,13.1,10,9.3
Anthony Edwards,MIN,72,39,33,2466,780,181,362,50,104,128,81.3,481,61.7,268,34.4,50,6.4,64,8.2,64,8.2
Anthony Gill,WAS,44,15,29,463,51,14,30,46.7,10,11,90.9,39,76.5,14,27.5,3,5.9,1,2,6,11.8
Anthony Lamb,HOU,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armoni Brooks,TOR,54,20,34,844,70,13,24,54.2,7,8,87.5,34,48.6,37,52.9,11,15.7,4,5.7,4,5.7
Arnoldas Kulboka,CHA,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Reaves,LAL,61,28,33,1418,168,38,64,59.4,33,40,82.5,114,67.9,72,42.9,16,9.5,6,3.6,20,11.9
Austin Rivers,DEN,67,41,26,1480,212,44,84,52.4,22,30,73.3,111,52.4,86,40.6,20,9.4,18,8.5,15,7.1
Avery Bradley,LAL,62,27,35,1406,63,8,31,25.8,2,2,100,19,30.2,27,42.9,6,9.5,2,3.2,1,1.6
Ayo Dosunmu,CHI,77,42,35,2110,325,70,131,53.4,8,11,72.7,151,46.5,162,49.8,45,13.8,23,7.1,6,1.8
BJ Johnson,ORL,4,2,2,65,5,2,4,50,0,0,0,4,80,1,20,0,0,0,0,0,0
Bam Adebayo,MIA,56,36,20,1825,201,64,109,58.7,42,48,87.5,173,86.1,45,22.4,4,2,10,5,23,11.4
Ben McLemore,POR,64,20,44,1285,67,10,22,45.5,9,10,90,31,46.3,32,47.8,6,9,6,9,5,7.5
Bismack Biyombo,PHX,35,29,6,493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Griffin,BKN,56,29,27,958,40,9,19,47.4,4,6,66.7,22,55,16,40,4,10,2,5,3,7.5
Boban Marjanovic,DAL,23,15,8,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Portis,MIL,72,46,26,2028,107,33,68,48.5,8,10,80,75,70.1,25,23.4,3,2.8,6,5.6,5,4.7
Bogdan Bogdanovic,ATL,63,33,30,1849,408,92,178,51.7,46,50,92,232,56.9,174,42.6,54,13.2,19,4.7,25,6.1
Bojan Bogdanovic,UTA,69,45,24,2131,429,109,218,50,76,81,93.8,302,70.4,115,26.8,26,6.1,42,9.8,41,9.6
Bol Bol,ORL,14,5,9,81,11,3,6,50,0,0,0,7,63.6,5,45.5,2,18.2,0,0,0,0
Bones Hyland,DEN,69,41,28,1310,276,39,104,37.5,25,28,89.3,104,37.7,121,43.8,39,14.1,27,9.8,14,5.1
Brad Wanamaker,WAS,23,10,13,320,92,13,31,41.9,4,6,66.7,33,35.9,49,53.3,10,10.9,8,8.7,3,3.3
Bradley Beal,WAS,40,17,23,1439,695,156,330,47.3,81,92,88,398,57.3,256,36.8,66,9.5,42,6,46,6.6
Brandon Boston Jr.,LAC,50,26,24,740,122,24,72,33.3,12,16,75,62,50.8,30,24.6,7,5.7,6,4.9,8,6.6
Brandon Clarke,MEM,63,43,20,1224,110,41,72,56.9,9,12,75,92,83.6,26,23.6,5,4.5,5,4.5,6,5.5
Brandon Goodwin,CLE,36,19,17,502,178,33,64,51.6,5,10,50,76,42.7,97,54.5,26,14.6,8,4.5,5,2.8
