PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Brandon Ingram,NOP,54,28,26,1834,640,142,275,51.6,97,119,81.5,393,61.4,241,37.7,67,10.5,41,6.4,60,9.4
Brandon Knight,DAL,5,2,3,65,25,4,5,80,0,0,0,8,32,17,68,1,4,1,4,0,0
Brandon Williams,POR,24,2,22,640,252,42,112,37.5,26,44,59.1,115,45.6,96,38.1,26,10.3,15,6,22,8.7
Braxton Key,DET,11,5,6,197,19,7,13,53.8,0,0,0,15,78.9,5,26.3,0,0,1,5.3,0,0
Brodric Thomas,BOS,12,8,4,60,9,1,2,50,0,0,0,2,22.2,7,77.8,2,22.2,0,0,0,0
Brook Lopez,MIL,13,10,3,298,12,4,8,50,2,2,100,10,83.3,1,8.3,1,8.3,2,16.7,1,8.3
Bruce Brown,BKN,72,37,35,1774,187,36,81,44.4,31,35,88.6,107,57.2,77,41.2,13,7,9,4.8,17,9.1
Bruno Fernando,HOU,30,15,15,153,14,5,7,71.4,4,7,57.1,14,100,0,0,0,0,4,28.6,4,28.6
Bryn Forbes,DEN,75,36,39,1286,204,45,100,45,27,30,90,118,57.8,67,32.8,11,5.4,18,8.8,15,7.4
Buddy Hield,IND,80,25,55,2469,442,79,179,44.1,24,28,85.7,185,41.9,212,48,38,8.6,28,6.3,15,3.4
CJ Elleby,POR,58,17,41,1174,167,22,62,35.5,22,28,78.6,67,40.1,71,42.5,14,8.4,13,7.8,14,8.4
CJ McCollum,NOP,62,28,34,2145,696,183,371,49.3,44,65,67.7,423,60.8,236,33.9,63,9.1,39,5.6,32,4.6
CJ Miles,BOS,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Cunningham,DET,63,20,43,2057,917,201,407,49.4,82,91,90.1,490,53.4,373,40.7,80,8.7,61,6.7,45,4.9
Caleb Martin,MIA,60,37,23,1372,185,43,78,55.1,33,48,68.8,121,65.4,57,30.8,8,4.3,20,10.8,25,13.5
Cam Reddish,NYK,49,20,29,1012,219,53,111,47.7,43,48,89.6,155,70.8,59,26.9,9,4.1,19,8.7,24,11
Cam Thomas,BKN,67,32,35,1176,297,91,166,54.8,24,30,80,210,70.7,89,30,20,6.7,17,5.7,15,5.1
Cameron Johnson,PHX,65,49,16,1695,193,37,80,46.3,22,28,78.6,101,52.3,77,39.9,16,8.3,18,9.3,14,7.3
Cameron McGriff,POR,3,0,3,46,7,0,2,0,2,2,100,2,28.6,4,57.1,1,14.3,0,0,1,14.3
Cameron Oliver,ATL,2,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Payne,PHX,57,45,12,1260,552,130,294,44.2,50,56,89.3,313,56.7,171,31,59,10.7,48,8.7,28,5.1
Caris LeVert,CLE,58,23,35,1780,863,211,422,50,68,98,69.4,506,58.6,331,38.4,68,7.9,40,4.6,50,5.8
Carlik Jones,DEN,5,3,2,23,7,1,2,50,0,0,0,2,28.6,4,57.1,2,28.6,1,14.3,0,0
Carmelo Anthony,LAL,69,27,42,1793,46,18,32,56.3,6,8,75,42,91.3,8,17.4,1,2.2,2,4.3,4,8.7
Carsen Edwards,DET,4,1,3,79,13,1,6,16.7,0,0,0,2,15.4,6,46.2,3,23.1,1,7.7,0,0
Cassius Stanley,DET,9,3,6,155,27,8,17,47.1,2,2,100,19,70.4,6,22.2,1,3.7,1,3.7,1,3.7
Cassius Winston,WAS,7,1,6,39,14,1,3,33.3,2,2,100,4,28.6,10,71.4,2,14.3,0,0,1,7.1
Cat Barber,ATL,3,0,3,13,7,0,2,0,0,0,0,0,0,4,57.1,1,14.3,1,14.3,0,0
Cedi Osman,CLE,66,37,29,1462,234,40,89,44.9,25,39,64.1,107,45.7,102,43.6,21,9,12,5.1,19,8.1
Chandler Hutchison,PHX,6,4,2,22,3,0,0,0,2,2,100,2,66.7,2,66.7,0,0,0,0,1,33.3
Charles Bassey,PHI,23,11,12,168,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
Charlie Brown Jr.,PHI,22,16,6,178,6,1,4,25,2,2,100,4,66.7,0,0,0,0,1,16.7,1,16.7
Chaundee Brown Jr.,ATL,5,1,4,104,9,1,4,25,4,4,100,6,66.7,3,33.3,0,0,0,0,2,22.2
Cheick Diallo,DET,3,0,3,31,2,0,0,0,3,4,75,3,150,0,0,0,0,0,0,2,100
Chimezie Metu,SAC,59,22,37,1276,181,34,85,40,38,46,82.6,107,59.1,51,28.2,14,7.7,16,8.8,23,12.7
Chris Boucher,TOR,80,48,32,1690,44,10,25,40,14,18,77.8,37,84.1,5,11.4,0,0,2,4.5,9,20.5
Chris Chiozza,GSW,33,21,12,368,121,3,18,16.7,0,0,0,6,5,82,67.8,13,10.7,18,14.9,0,0
Chris Duarte,IND,55,21,34,1541,362,60,154,39,35,44,79.5,159,43.9,134,37,29,8,42,11.6,22,6.1
Chris Paul,PHX,64,52,12,2105,761,181,311,58.2,29,32,90.6,397,52.2,381,50.1,108,14.2,38,5,16,2.1
Chris Silva,MIA,10,7,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Wood,HOU,68,19,49,2094,300,89,168,53,43,68,63.2,223,74.3,70,23.3,22,7.3,20,6.7,33,11
Chuma Okeke,ORL,70,21,49,1749,219,34,83,41,16,20,80,86,39.3,103,47,23,10.5,18,8.2,10,4.6
Clint Capela,ATL,74,40,34,2042,17,4,9,44.4,7,10,70,15,88.2,1,5.9,0,0,2,11.8,5,29.4
Coby White,CHI,61,32,29,1675,420,93,187,49.7,31,36,86.1,220,52.4,179,42.6,41,9.8,29,6.9,18,4.3
Cody Martin,CHA,70,41,29,1846,245,46,94,48.9,12,16,75,111,45.3,115,46.9,32,13.1,24,9.8,8,3.3
Cody Zeller,POR,27,13,14,355,18,5,10,50,2,4,50,12,66.7,5,27.8,1,5.6,0,0,3,16.7
Cole Anthony,ORL,65,18,47,2059,733,128,288,44.4,80,93,86,349,47.6,318,43.4,69,9.4,57,7.8,48,6.5
Collin Sexton,CLE,11,7,4,316,125,26,52,50,14,16,87.5,68,54.4,43,34.4,9,7.2,14,11.2,9,7.2
Corey Kispert,WAS,77,31,46,1801,109,26,51,51,11,12,91.7,65,59.6,42,38.5,13,11.9,8,7.3,6,5.5
Cory Joseph,DET,65,19,46,1600,443,69,141,48.9,33,39,84.6,178,40.2,233,52.6,49,11.1,32,7.2,19,4.3
Craig Sword,WAS,3,1,2,19,3,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0
D'Angelo Russell,MIN,65,39,26,2077,395,106,208,51,52,64,81.3,272,68.9,124,31.4,28,7.1,17,4.3,32,8.1
D.J. Augustin,LAL,55,15,40,883,185,13,35,37.1,9,10,90,38,20.5,113,61.1,17,9.2,26,14.1,5,2.7
D.J. Wilson,TOR,4,2,2,54,4,0,1,0,3,4,75,3,75,1,25,0,0,0,0,2,50
DaQuan Jeffries,MEM,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daishen Nix,HOU,24,3,21,261,86,11,24,45.8,7,16,43.8,30,34.9,46,53.5,10,11.6,5,5.8,8,9.3
Dakota Mathias,MEM,5,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalano Banton,TOR,64,37,27,696,162,23,59,39,7,8,87.5,54,33.3,82,50.6,21,13,11,6.8,4,2.5
Damian Jones,SAC,55,18,37,1015,38,13,20,65,3,6,50,33,86.8,8,21.1,1,2.6,3,7.9,3,7.9
Damian Lillard,POR,29,12,17,1056,433,82,165,49.7,70,78,89.7,239,55.2,189,43.6,54,12.5,18,4.2,39,9
Damion Lee,GSW,62,41,21,1227,185,41,81,50.6,13,16,81.3,98,53,79,42.7,12,6.5,11,5.9,8,4.3
Damyean Dotson,NYK,2,1,1,21,3,2,3,66.7,0,0,0,4,133.3,0,0,0,0,0,0,0,0
Daniel Gafford,WAS,72,30,42,1444,22,8,16,50,2,4,50,18,81.8,4,18.2,0,0,0,0,2,9.1
Daniel Oturu,TOR,3,1,2,27,3,1,2,50,2,2,100,4,133.3,0,0,0,0,0,0,1,33.3
Daniel Theis,BOS,47,20,27,977,26,5,12,41.7,1,2,50,11,42.3,9,34.6,2,7.7,4,15.4,1,3.8
Danilo Gallinari,ATL,66,35,31,1672,165,36,73,49.3,29,32,90.6,104,63,55,33.3,14,8.5,10,6.1,16,9.7
Danny Green,PHI,62,37,25,1353,57,8,23,34.8,2,2,100,18,31.6,30,52.6,6,10.5,3,5.3,1,1.8
Danuel House Jr.,UTA,42,18,24,727,93,9,31,29,14,16,87.5,32,34.4,41,44.1,10,10.8,7,7.5,8,8.6
Darius Bazley,OKC,69,19,50,1924,370,74,184,40.2,49,69,71,203,54.9,111,30,20,5.4,29,7.8,36,9.7
Darius Garland,CLE,68,37,31,2430,1189,220,437,50.3,77,86,89.5,529,44.5,577,48.5,161,13.5,94,7.9,43,3.6
Darren Collison,LAL,3,1,2,37,3,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0
David Duke Jr.,BKN,22,10,12,341,51,5,21,23.8,3,4,75,13,25.5,21,41.2,3,5.9,5,9.8,2,3.9
David Johnson,TOR,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Nwaba,HOU,46,6,40,609,77,17,37,45.9,18,28,64.3,53,68.8,16,20.8,4,5.2,6,7.8,14,18.2
Davion Mitchell,SAC,74,27,47,2051,717,141,281,50.2,17,28,60.7,299,41.7,367,51.2,107,14.9,41,5.7,14,2
Davis Bertans,DAL,56,32,24,806,49,3,13,23.1,2,2,100,8,16.3,28,57.1,3,6.1,6,12.2,1,2
Davon Reed,DEN,48,29,19,668,55,12,26,46.2,1,2,50,25,45.5,25,45.5,6,10.9,2,3.6,1,1.8
Day'Ron Sharpe,BKN,32,12,20,391,12,3,8,37.5,0,0,0,6,50,3,25,0,0,0,0,0,0
De'Aaron Fox,SAC,58,21,37,2054,968,274,529,51.8,138,189,73,709,73.2,258,26.7,59,6.1,64,6.6,95,9.8
De'Andre Hunter,ATL,53,28,25,1577,299,71,164,43.3,58,77,75.3,202,67.6,65,21.7,24,8,17,5.7,38,12.7
De'Anthony Melton,MEM,72,48,24,1636,330,50,130,38.5,28,34,82.4,131,39.7,150,45.5,34,10.3,26,7.9,17,5.2
DeAndre Jordan,PHI,48,26,22,622,1,1,1,100,0,0,0,2,200,0,0,0,0,0,0,0,0
DeAndre' Bembry,MIL,56,31,25,1026,103,28,56,50,7,8,87.5,64,62.1,33,32,5,4.9,8,7.8,4,3.9
DeJon Jarreau,IND,1,0,1,1,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
DeMar DeRozan,CHI,76,43,33,2743,1138,303,542,55.9,174,195,89.2,811,71.3,406,35.7,97,8.5,63,5.5,100,8.8
DeMarcus Cousins,DEN,48,33,15,717,94,24,44,54.5,13,20,65,64,68.1,22,23.4,7,7.4,12,12.8,10,10.6
Dean Wade,CLE,51,27,24,980,62,14,25,56,4,6,66.7,34,54.8,31,50,8,12.9,3,4.8,3,4.8
Deandre Ayton,PHX,58,46,12,1713,27,11,19,57.9,2,4,50,24,88.9,3,11.1,1,3.7,1,3.7,2,7.4
Deividas Sirvydis,DET,3,1,2,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejounte Murray,SAS,68,30,38,2366,1219,254,503,50.5,99,122,81.1,625,51.3,550,45.1,171,14,72,5.9,60,4.9
Delon Wright,ATL,77,42,35,1453,279,37,90,41.1,25,30,83.3,100,35.8,153,54.8,43,15.4,15,5.4,15,5.4
Deni Avdija,WAS,82,35,47,1984,318,75,152,49.3,28,33,84.8,180,56.6,102,32.1,29,9.1,32,10.1,16,5
Dennis Schroder,HOU,63,32,31,1810,672,140,284,49.3,82,96,85.4,373,55.5,268,39.9,75,11.2,54,8,48,7.1
Dennis Smith Jr.,POR,37,15,22,639,282,45,104,43.3,15,24,62.5,109,38.7,142,50.4,39,13.8,19,6.7,12,4.3
Denzel Valentine,UTA,24,14,10,222,25,2,9,22.2,1,2,50,5,20,14,56,3,12,1,4,1,4
Derrick Favors,OKC,39,15,24,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Jones Jr.,CHI,51,28,23,899,33,5,16,31.3,4,6,66.7,15,45.5,6,18.2,0,0,6,18.2,3,9.1
Derrick Rose,NYK,26,11,15,636,250,63,119,52.9,20,20,100,148,59.2,103,41.2,24,9.6,15,6,11,4.4
Derrick Walton Jr.,DET,3,1,2,108,44,1,9,11.1,2,2,100,4,9.1,27,61.4,9,20.5,7,15.9,1,2.3
Derrick White,BOS,75,40,35,2199,770,136,280,48.6,101,123,82.1,381,49.5,354,46,96,12.5,35,4.5,61,7.9
Desmond Bane,MEM,76,53,23,2266,405,106,236,44.9,27,28,96.4,242,59.8,127,31.4,28,6.9,24,5.9,14,3.5
Devin Booker,PHX,67,55,12,2311,649,154,335,46,82,93,88.2,402,61.9,210,32.4,48,7.4,37,5.7,46,7.1
Devin Cannady,ORL,5,2,3,145,3,0,1,0,0,0,0,0,0,2,66.7,1,33.3,0,0,0,0
Devin Vassell,SAS,71,29,42,1937,315,80,159,50.3,26,32,81.3,191,60.6,117,37.1,25,7.9,17,5.4,16,5.1
Devon Dotson,CHI,11,5,6,85,28,7,9,77.8,2,4,50,16,57.1,16,57.1,2,7.1,1,3.6,2,7.1
Devontae Cacok,SAS,15,5,10,121,9,5,8,62.5,0,0,0,11,122.2,1,11.1,1,11.1,0,0,0,0
Devonte' Graham,NOP,75,33,42,2133,379,42,102,41.2,37,43,86,129,34,211,55.7,52,13.7,29,7.7,21,5.5
Dewayne Dedmon,MIA,67,43,24,1065,14,5,8,62.5,4,4,100,14,100,2,14.3,0,0,2,14.3,2,14.3
Didi Louzada,POR,9,0,9,129,19,0,4,0,0,0,0,0,0,13,68.4,1,5.3,2,10.5,0,0
Dillon Brooks,MEM,31,21,10,861,274,81,188,43.1,33,38,86.8,200,73,49,17.9,14,5.1,12,4.4,19,6.9
Domantas Sabonis,SAC,62,21,41,2136,216,41,71,57.7,18,28,64.3,106,49.1,92,42.6,14,6.5,24,11.1,15,6.9
Donovan Mitchell,UTA,67,41,26,2266,1020,275,510,53.9,117,136,86,689,67.5,329,32.3,78,7.6,65,6.4,71,7
Donte DiVincenzo,SAC,42,21,21,1005,194,15,50,30,15,18,83.3,46,23.7,110,56.7,30,15.5,16,8.2,9,4.6
Dorian Finney-Smith,DAL,80,51,29,2644,258,41,84,48.8,17,25,68,100,38.8,135,52.3,39,15.1,21,8.1,12,4.7
Doug McDermott,SAS,51,21,30,1223,175,47,109,43.1,12,14,85.7,108,61.7,49,28,12,6.9,9,5.1,7,4
Draymond Green,GSW,46,34,12,1329,127,33,53,62.3,18,24,75,86,67.7,53,41.7,19,15,7,5.5,12,9.4
Drew Eubanks,POR,71,19,52,1245,36,5,13,38.5,7,8,87.5,17,47.2,15,41.7,1,2.8,4,11.1,4,11.1
Duane Washington Jr.,IND,48,12,36,968,229,55,128,43,21,26,80.8,133,58.1,67,29.3,20,8.7,15,6.6,13,5.7
Duncan Robinson,MIA,79,52,27,2043,145,22,43,51.2,8,8,100,52,35.9,86,59.3,21,14.5,9,6.2,4,2.8
Dwight Howard,LAL,60,21,39,971,5,2,3,66.7,2,2,100,6,120,0,0,0,0,1,20,1,20
Dwight Powell,DAL,82,52,30,1798,43,11,24,45.8,4,4,100,29,67.4,15,34.9,4,9.3,0,0,2,4.7
Dylan Windler,CLE,50,28,22,459,45,5,10,50,4,4,100,15,33.3,27,60,9,20,5,11.1,2,4.4
Ed Davis,CLE,31,15,16,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elfrid Payton,PHX,49,38,11,535,227,40,106,37.7,6,18,33.3,88,38.8,88,38.8,20,8.8,18,7.9,9,4
Elijah Hughes,POR,36,15,21,434,65,13,27,48.1,2,2,100,29,44.6,29,44.6,6,9.2,7,10.8,1,1.5
Emanuel Terry,PHX,3,2,1,18,1,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0
Emmanuel Mudiay,SAC,2,0,2,11,5,0,1,0,1,2,50,1,20,3,60,2,40,0,0,1,20
Enes Freedom,BOS,34,20,14,400,2,1,2,50,0,0,0,2,100,0,0,0,0,0,0,0,0
Eric Bledsoe,POR,53,27,26,1325,499,88,171,51.5,37,49,75.5,223,44.7,234,46.9,53,10.6,37,7.4,24,4.8
Eric Gordon,HOU,57,19,38,1670,440,133,230,57.8,54,74,73,333,75.7,126,28.6,27,6.1,35,8,37,8.4
Eric Paschall,UTA,58,36,22,737,140,40,65,61.5,30,35,85.7,117,83.6,42,30,6,4.3,14,10,17,12.1
Eugene Omoruyi,DAL,4,1,3,18,2,0,1,0,0,0,0,0,0,1,50,0,0,0,0,0,0
Evan Fournier,NYK,79,35,44,2316,392,83,177,46.9,29,36,80.6,202,51.5,157,40.1,39,9.9,28,7.1,18,4.6
Evan Mobley,CLE,69,40,29,2331,240,51,131,38.9,29,40,72.5,134,55.8,61,25.4,12,5,18,7.5,20,8.3
Facundo Campazzo,DEN,65,38,27,1184,250,18,53,34,17,20,85,54,21.6,162,64.8,42,16.8,17,6.8,10,4
Feron Hunt,NYK,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Jackson,DET,53,9,44,1164,185,49,110,44.5,19,25,76,119,64.3,45,24.3,8,4.3,12,6.5,12,6.5
Frank Kaminsky,PHX,9,8,1,181,12,5,9,55.6,0,0,0,10,83.3,2,16.7,1,8.3,1,8.3,0,0
Frank Ntilikina,DAL,58,34,24,685,123,23,52,44.2,8,8,100,54,43.9,59,48,17,13.8,5,4.1,4,3.3
Franz Wagner,ORL,79,21,58,2429,717,200,435,46,97,107,90.7,506,70.6,173,24.1,48,6.7,33,4.6,54,7.5
Fred VanVleet,TOR,65,39,26,2462,844,94,234,40.2,60,63,95.2,251,29.7,487,57.7,118,14,67,7.9,32,3.8
Freddie Gillespie,ORL,9,1,8,119,3,1,1,100,0,0,0,2,66.7,2,66.7,0,0,0,0,0,0
Furkan Korkmaz,PHI,67,44,23,1414,247,54,113,47.8,26,34,76.5,136,55.1,99,40.1,24,9.7,10,4,17,6.9
Gabe Vincent,MIA,68,47,21,1589,343,50,101,49.5,17,21,81,117,34.1,194,56.6,44,12.8,23,6.7,10,2.9
Gabe York,IND,2,0,2,21,2,1,1,100,0,0,0,3,150,1,50,1,50,0,0,0,0
Gabriel Deck,OKC,7,2,5,56,7,2,2,100,0,0,0,4,57.1,4,57.1,2,28.6,1,14.3,0,0
Gabriel Lundberg,PHX,4,1,3,44,11,0,2,0,0,0,0,0,0,8,72.7,4,36.4,0,0,0,0
Garrett Temple,NOP,58,22,36,1080,103,12,35,34.3,7,12,58.3,32,31.1,52,50.5,13,12.6,8,7.8,6,5.8
Garrison Mathews,HOU,65,19,46,1712,77,9,23,39.1,14,18,77.8,33,42.9,37,48.1,12,15.6,6,7.8,9,11.7
Gary Clark,NOP,37,19,18,363,19,3,9,33.3,1,2,50,7,36.8,9,47.4,4,21.1,0,0,1,5.3
Gary Harris,ORL,61,16,45,1730,224,52,105,49.5,7,9,77.8,112,50,88,39.3,24,10.7,20,8.9,4,1.8
Gary Payton II,GSW,70,47,23,1234,30,5,9,55.6,2,4,50,12,40,16,53.3,2,6.7,2,6.7,2,6.7
Gary Trent Jr.,TOR,70,44,26,2448,318,89,209,42.6,35,40,87.5,213,67,75,23.6,19,6,12,3.8,19,6
George Hill,MIL,54,36,18,1253,181,31,76,40.8,13,14,92.9,76,42,81,44.8,23,12.7,14,7.7,7,3.9
George King,DAL,4,2,2,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Niang,PHI,76,48,28,1736,229,51,103,49.5,23,25,92,130,56.8,91,39.7,18,7.9,17,7.4,13,5.7
Georgios Kalaitzakis,OKC,13,8,5,213,30,5,12,41.7,1,2,50,12,40,8,26.7,1,3.3,8,26.7,1,3.3
Giannis Antetokounmpo,MIL,67,45,22,2204,782,183,301,60.8,158,226,69.9,542,69.3,264,33.8,75,9.6,60,7.7,113,14.5
Goga Bitadze,IND,50,17,33,729,17,5,7,71.4,2,2,100,12,70.6,6,35.3,1,5.9,2,11.8,1,5.9
Goran Dragic,BKN,21,10,11,498,138,26,53,49.1,11,14,78.6,63,45.7,69,50,10,7.2,7,5.1,7,5.1
Gordon Hayward,CHA,48,26,22,1529,400,60,152,39.5,44,51,86.3,168,42,175,43.8,41,10.3,26,6.5,25,6.3
Gorgui Dieng,ATL,44,23,21,371,20,2,9,22.2,0,0,0,5,25,10,50,1,5,1,5,0,0
Grant Williams,BOS,76,49,27,1860,121,20,44,45.5,22,25,88,65,53.7,52,43,11,9.1,10,8.3,12,9.9
Grayson Allen,MIL,66,43,23,1805,289,52,113,46,21,26,80.8,126,43.6,139,48.1,24,8.3,17,5.9,13,4.5
Greg Brown III,POR,48,14,34,640,62,5,22,22.7,15,21,71.4,24,38.7,20,32.3,7,11.3,7,11.3,10,16.1
