PLAYER,TEAM,AGE,HEIGHT,WEIGHT,,,,,,,,,,,,,,,
Scottie Barnes,TOR,21,6-8,225,,,,,,,,,,,6.3,13.5,20,52.4,19.5
Thaddeus Young,TOR,34,6-8,235,,,,,,,,,,,8.3,13.6,13.1,57.3,13.3
Will Barton,TOR,32,6-5,181,,,,,,,,,,,1.4,12.5,18.2,49.3,16.2
Alize Johnson,SAS,27,6-8,212,,,,,,,,,,,6.3,21.1,14.5,50.9,4.2
Blake Wesley,SAS,20,6-4,185,,,,,,,,,,,1.6,10.1,18,39.3,20.1
Charles Bassey,SAS,22,6-9,230,,,,,,,,,,,14,23.2,15.2,65.8,13.1
Devin Vassell,SAS,22,6-5,200,,,,,,,,,,,0.6,12.5,24,55,17.3
Devonte' Graham,SAS,28,6-1,195,,,,,,,,,,,1.3,8.1,16.5,55.2,20.7
Dominick Barlow,SAS,19,6-9,215,,,,,,,,,,,10,13.1,10.7,56.7,7.9
Doug McDermott,SAS,31,6-6,225,,,,,,,,,,,1.6,8.5,18.6,59,9.8
Gorgui Dieng,SAS,33,6-10,248,,,,,,,,,,,6.3,22,17.7,49.3,22.1
Jeremy Sochan,SAS,19,6-8,230,,,,,,,,,,,6,14,19.5,50.9,13.2
Jordan Hall,SAS,21,6-7,215,,,,,,,,,,,3.3,12.9,19.7,43.8,22
Joshua Primo,SAS,20,6-6,189,,,,,,,,,,,1.9,11.3,17.3,46.7,23.7
Julian Champagnie,SAS,21,6-7,217,,,,,,,,,,,2.7,14.7,18.1,60,4.3
Keita Bates-Diop,SAS,27,6-8,229,,,,,,,,,,,4.2,13,16.5,60.9,9.9
Keldon Johnson,SAS,23,6-5,220,,,,,,,,,,,2.5,13.3,27.3,55.1,13.7
Khem Birch,SAS,30,6-8,233,,,,,,,,,,,5.1,11.8,11.3,62.9,6.3
Malaki Branham,SAS,19,6-4,180,,,,,,,,,,,1.7,9.8,18.8,52.4,11.2
Romeo Langford,SAS,23,6-5,216,,,,,,,,,,,6,6.7,14.8,52.4,8
Sandro Mamukelashvili,SAS,23,6-10,240,,,,,,,,,,,9.3,17.8,17.7,51.6,13.4
Stanley Johnson,SAS,26,6-6,242,,,,,,,,,,,4.7,15,14.8,62.5,17.9
Tre Jones,SAS,23,6-1,185,,,,,,,,,,,2.6,9.9,18.9,53.4,30.6
Zach Collins,SAS,25,6-11,250,,,,,,,,,,,7.6,19,20.9,59.9,18
Alex Len,SAC,29,7-2,250,,,,,,,,,,,14.3,19.4,13.2,58,9.9
Chima Moneke,SAC,27,6-5,223,,,,,,,,,,,25,0,25,34.7,25
Chimezie Metu,SAC,26,6-9,225,,,,,,,,,,,6.8,20.6,16.8,63.9,8
Davion Mitchell,SAC,24,6-0,202,,,,,,,,,,,1.2,6.2,14,54.5,17.3
De'Aaron Fox,SAC,25,6-3,185,,,,,,,,,,,1.7,11.1,28.8,59.9,28.1
Deonte Burton,SAC,29,6-4,240,,,,,,,,,,,0,0,13.3,0,0
Domantas Sabonis,SAC,27,7-1,240,,,,,,,,,,,9.6,27.5,21.3,66.8,29.7
Harrison Barnes,SAC,30,6-8,225,,,,,,,,,,,3.4,10.7,16.8,63.2,6.3
KZ Okpala,SAC,24,6-8,215,,,,,,,,,,,2.8,10.2,8.1,55.4,6.5
Keegan Murray,SAC,22,6-8,225,,,,,,,,,,,3.8,12.3,15.6,59.7,5.3
Keon Ellis,SAC,23,6-3,175,,,,,,,,,,,5.6,6.3,12.4,62.9,13.6
Kessler Edwards,SAC,22,6-7,203,,,,,,,,,,,5.9,10.2,11.9,50.2,7.3
Kevin Huerter,SAC,24,6-7,198,,,,,,,,,,,2,10,19.7,61.7,13.7
Malik Monk,SAC,25,6-3,200,,,,,,,,,,,1.9,9.7,24.7,58.7,25.8
Matthew Dellavedova,SAC,32,6-3,200,,,,,,,,,,,0.5,5.4,12.2,44.3,27.9
Neemias Queta,SAC,23,7-0,248,,,,,,,,,,,13.5,21.4,14.1,60.7,6.7
PJ Dozier,SAC,26,6-6,205,,,,,,,,,,,1.2,17.1,20.3,33.3,19.6
Richaun Holmes,SAC,29,6-8,235,,,,,,,,,,,8.2,14.9,13.2,66.8,4
Terence Davis,SAC,25,6-4,201,,,,,,,,,,,2.4,14,21.5,56.3,11
Trey Lyles,SAC,27,6-9,234,,,,,,,,,,,5.4,18.4,17.4,60.7,7.3
Anfernee Simons,POR,23,6-3,181,,,,,,,,,,,0.8,6.7,24.7,58.1,18.6
Cam Reddish,POR,23,6-7,217,,,,,,,,,,,1.7,7,16.6,56.1,8.5
Chance Comanche,POR,27,6-10,210,,,,,,,,,,,8,6.7,14,51.8,0
Damian Lillard,POR,32,6-2,195,,,,,,,,,,,2.2,11.2,33.1,64.5,33.8
Drew Eubanks,POR,26,6-10,245,,,,,,,,,,,8.4,18.3,12.2,66.6,9.2
Greg Brown III,POR,21,6-7,206,,,,,,,,,,,1.9,17.5,17,42.1,5.5
Jabari Walker,POR,20,6-7,200,,,,,,,,,,,7.4,13.5,16.4,49.6,8
Jeenathan Williams,POR,24,6-5,205,,,,,,,,,,,7,3.9,13.9,65.7,10
Jerami Grant,POR,29,6-8,210,,,,,,,,,,,2.5,10.4,22.7,60.6,10.3
John Butler Jr.,POR,20,7-0,190,,,,,,,,,,,1.2,6.5,10.2,41.1,6.6
Justin Minaya,POR,24,6-7,210,,,,,,,,,,,3,13.5,12.3,36.3,5.6
Justise Winslow,POR,27,6-6,222,,,,,,,,,,,6.2,12.3,13.9,46.6,17.7
Jusuf Nurkic,POR,28,7-0,290,,,,,,,,,,,8.4,25.8,21.8,58.9,16
Keon Johnson,POR,21,6-3,185,,,,,,,,,,,2.5,8.6,23.7,48.2,22.6
Kevin Knox II,POR,23,6-7,215,,,,,,,,,,,3.3,15.2,17.5,57.9,5.3
Matisse Thybulle,POR,26,6-5,201,,,,,,,,,,,3.2,8.5,10.2,55.2,5.9
Nassir Little,POR,23,6-5,220,,,,,,,,,,,2.8,12.2,15.8,55.5,7.5
Ryan Arcidiacono,POR,29,6-3,195,,,,,,,,,,,0,9,10.6,35.1,19.5
Shaedon Sharpe,POR,19,6-5,200,,,,,,,,,,,3.7,10.2,18.6,56.8,7.9
Skylar Mays,POR,25,6-4,205,,,,,,,,,,,1,9.7,18.2,62.4,36.8
Trendon Watford,POR,22,6-8,237,,,,,,,,,,,3.7,17.3,15.8,62.5,16.2
Bismack Biyombo,PHX,30,6-8,255,,,,,,,,,,,9.3,18.4,13.6,55.5,8.9
Cameron Payne,PHX,28,6-1,183,,,,,,,,,,,1.2,10,23.9,51.2,30.8
Chris Paul,PHX,38,6-0,175,,,,,,,,,,,1.4,11.8,19.5,55.5,38.9
Damion Lee,PHX,30,6-5,210,,,,,,,,,,,2.4,12.4,15.5,60.7,9.2
Darius Bazley,PHX,22,6-9,216,,,,,,,,,,,5.3,15.7,16.5,52.4,8.8
Deandre Ayton,PHX,24,7-0,250,,,,,,,,,,,8.4,24.7,23.1,61.7,9
Devin Booker,PHX,26,6-5,206,,,,,,,,,,,2.5,10.5,31.1,60.1,25.1
Ish Wainright,PHX,28,6-5,250,,,,,,,,,,,4.5,9.7,11.7,52.2,7.5
Jock Landale,PHX,27,6-11,255,,,,,,,,,,,11.4,16.4,18.2,59.5,10.1
Josh Okogie,PHX,24,6-4,213,,,,,,,,,,,7.8,10.2,17.4,53.1,10.4
Kevin Durant,PHX,34,6-10,240,,,,,,,,,,,1.2,16.6,30.5,67.7,22.8
Landry Shamet,PHX,26,6-4,190,,,,,,,,,,,1.3,7,18.6,53.7,16.7
Saben Lee,PHX,23,6-2,183,,,,,,,,,,,3,8.2,18.4,51.7,27.8
T.J. Warren,PHX,29,6-8,220,,,,,,,,,,,3.8,13.1,18.5,55,8.1
Terrence Ross,PHX,32,6-7,206,,,,,,,,,,,1.6,9.9,16.6,54.4,10.1
Torrey Craig,PHX,32,6-7,221,,,,,,,,,,,7.3,14.6,12.8,56.6,8
Danuel House Jr.,PHI,29,6-6,220,,,,,,,,,,,1.2,10.7,13.3,60,7.4
De'Anthony Melton,PHI,24,6-2,200,,,,,,,,,,,3.4,11.4,16.2,56.6,13.3
Dewayne Dedmon,PHI,33,6-10,245,,,,,,,,,,,7.5,23.1,19.5,57.7,10.8
Furkan Korkmaz,PHI,25,6-7,202,,,,,,,,,,,1.7,9.9,17.6,55.2,9.1
Georges Niang,PHI,29,6-7,230,,,,,,,,,,,1.3,10.9,16.2,61,7.4
Jaden Springer,PHI,20,6-4,202,,,,,,,,,,,6.3,9.1,18.8,54.5,12.9
Jalen McDaniels,PHI,25,6-9,205,,,,,,,,,,,3.1,14.5,16.5,55.7,9.4
James Harden,PHI,33,6-5,220,,,,,,,,,,,2.1,15.1,24.7,60.7,43.9
Joel Embiid,PHI,29,7-0,280,,,,,,,,,,,5.7,24.3,37,65.5,23.3
Louis King,PHI,24,6-7,205,,,,,,,,,,,6.7,7.4,20.5,74.4,9.1
Mac McClung,PHI,24,6-2,185,,,,,,,,,,,7.3,15.2,24.3,56.3,29
Michael Foster Jr.,PHI,20,6-8,250,,,,,,,,,,,0,0,0,0,0
Montrezl Harrell,PHI,29,6-7,240,,,,,,,,,,,10,13.3,17.8,63.1,7.3
P.J. Tucker,PHI,38,6-5,245,,,,,,,,,,,5.5,10.8,6.6,56.6,4
Paul Reed,PHI,23,6-9,210,,,,,,,,,,,14.7,20.7,15.2,62,5.1
Shake Milton,PHI,26,6-5,205,,,,,,,,,,,2.6,9.6,17.5,57.5,21.3
Tobias Harris,PHI,30,6-7,226,,,,,,,,,,,3,15,18,60.2,11.4
Tyrese Maxey,PHI,22,6-2,200,,,,,,,,,,,1.2,7.9,23.6,60.5,16.7
Admiral Schofield,ORL,26,6-5,241,,,,,,,,,,,4.7,9.2,13.9,58.7,10.3
Bol Bol,ORL,23,7-2,220,,,,,,,,,,,4.6,22,17.7,60.3,6.9
Caleb Houstan,ORL,20,6-8,205,,,,,,,,,,,4.1,8.3,10.7,50.8,5.1
Chuma Okeke,ORL,24,6-8,229,,,,,,,,,,,4.9,13.2,12.1,48.8,10.1
Cole Anthony,ORL,22,6-3,185,,,,,,,,,,,3,15.2,20.9,57,22.8
Franz Wagner,ORL,21,6-10,220,,,,,,,,,,,2.7,9.8,23,58.9,16.7
Gary Harris,ORL,28,6-4,210,,,,,,,,,,,1.8,6.9,12.5,62,6.7
Goga Bitadze,ORL,23,6-11,250,,,,,,,,,,,12.3,16.7,14.7,58.2,12.2
Jalen Suggs,ORL,21,6-5,205,,,,,,,,,,,4.4,8.3,19.6,52.8,17.9
Jay Scrubb,ORL,22,6-5,220,,,,,,,,,,,0,30,15.1,82.5,5.6
Jonathan Isaac,ORL,25,6-10,230,,,,,,,,,,,9.9,25,19.8,48.3,8.5
Kevon Harris,ORL,25,6-6,216,,,,,,,,,,,5.7,9.2,12.9,56.4,4.9
Markelle Fultz,ORL,24,6-4,209,,,,,,,,,,,3.8,9.5,20.8,56.4,29
Michael Carter-Williams,ORL,31,6-5,190,,,,,,,,,,,2.1,12.5,19.1,49.8,28
Moritz Wagner,ORL,26,6-11,245,,,,,,,,,,,6,17.2,20.1,63,11.5
Paolo Banchero,ORL,20,6-10,250,,,,,,,,,,,3.5,17.4,27.2,52.9,17.1
Wendell Carter Jr.,ORL,24,6-10,270,,,,,,,,,,,7.4,22.1,20.4,62.1,11.9
Aaron Wiggins,OKC,24,6-5,190,,,,,,,,,,,5,10.9,14.3,60.7,8.4
Aleksej Pokusevski,OKC,21,7-0,210,,,,,,,,,,,5.8,16,17.9,52.2,13
Dario Saric,OKC,29,6-10,225,,,,,,,,,,,6.4,19.5,18.6,58.3,13.1
Isaiah Joe,OKC,23,6-3,165,,,,,,,,,,,1.8,10.8,17,62.6,8.7
Jalen Williams,OKC,22,6-5,211,,,,,,,,,,,3.5,10.9,18,60.1,15.2
Jared Butler,OKC,22,6-3,193,,,,,,,,,,,1.3,3.4,20.8,57.8,16
Jaylin Williams,OKC,20,6-9,240,,,,,,,,,,,4.5,23,13.3,55.9,10.9
Jeremiah Robinson-Earl,OKC,22,6-8,240,,,,,,,,,,,8.2,12.9,14.3,54.8,6.9
Josh Giddey,OKC,20,6-8,216,,,,,,,,,,,5.8,18.9,23.9,53.3,29.3
Kenrich Williams,OKC,28,6-6,210,,,,,,,,,,,7.5,13.7,13.4,58.5,11.7
Lindy Waters III,OKC,25,6-6,210,,,,,,,,,,,2.8,10.3,14.8,57.3,7.1
Luguentz Dort,OKC,24,6-4,220,,,,,,,,,,,5.3,9.2,19.4,51.3,9
Olivier Sarr,OKC,24,6-11,240,,,,,,,,,,,9,14.7,13,54.4,4.8
Ousmane Dieng,OKC,19,6-9,185,,,,,,,,,,,3,14.1,15.4,50.5,10.8
Shai Gilgeous-Alexander,OKC,24,6-6,195,,,,,,,,,,,2.3,10.9,31.8,62.6,24.9
Tre Mann,OKC,22,6-3,178,,,,,,,,,,,2.1,10.4,20,49.2,14.4
Derrick Rose,NYK,34,6-3,200,,,,,,,,,,,2.2,8.2,22,46.3,20.8
Duane Washington Jr.,NYK,23,6-2,197,,,,,,,,,,,0.4,8.5,29.8,45.8,26
Evan Fournier,NYK,30,6-6,205,,,,,,,,,,,0.8,9.6,17.9,47.1,11.1
Immanuel Quickley,NYK,23,6-2,190,,,,,,,,,,,2.4,11,20.3,57.8,17.8
Isaiah Hartenstein,NYK,25,7-0,250,,,,,,,,,,,12.2,19.2,10.7,56.7,8.3
Isaiah Roby,NYK,25,6-8,230,,,,,,,,,,,4,18.8,17.3,49.7,11.4
