PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Vit Krejci,ATL,29,15,14,165,21,2,6,33.3,0,0,0,4,19,15,71.4,4,19,0,0,0,0
Vlatko Cancar,DEN,60,38,22,889,68,12,31,38.7,8,8,100,34,50,25,36.8,9,13.2,4,5.9,4,5.9
Walker Kessler,UTA,74,34,40,1703,6,2,3,66.7,1,2,50,5,83.3,2,33.3,0,0,0,0,1,16.7
Wendell Carter Jr.,ORL,57,26,31,1690,134,48,77,62.3,29,38,76.3,124,92.5,24,17.9,6,4.5,13,9.7,21,15.7
Wendell Moore Jr.,MIN,28,15,13,149,20,4,5,80,2,2,100,10,50,10,50,1,5,4,20,1,5
Wenyen Gabriel,LAL,68,37,31,1024,34,9,14,64.3,1,2,50,19,55.9,13,38.2,0,0,5,14.7,1,2.9
Wesley Matthews,MIL,52,37,15,820,37,3,11,27.3,11,12,91.7,17,45.9,18,48.6,4,10.8,1,2.7,6,16.2
Will Barton,TOR,56,27,29,993,192,31,89,34.8,16,20,80,79,41.1,81,42.2,22,11.5,11,5.7,10,5.2
Willy Hernangomez,NOP,38,23,15,458,17,4,8,50,7,8,87.5,15,88.2,3,17.6,0,0,2,11.8,4,23.5
Xavier Cooks,WAS,10,2,8,126,16,2,4,50,0,0,0,4,25,8,50,1,6.3,2,12.5,0,0
Xavier Moon,LAC,4,2,2,20,7,1,2,50,0,0,0,2,28.6,3,42.9,0,0,1,14.3,0,0
Xavier Sneed,CHA,4,0,4,48,5,1,2,50,2,2,100,4,80,1,20,1,20,1,20,1,20
Xavier Tillman,MEM,61,40,21,1180,45,16,35,45.7,0,0,0,32,71.1,6,13.3,0,0,2,4.4,0,0
Yuta Watanabe,BKN,58,30,28,928,80,12,33,36.4,8,10,80,32,40,38,47.5,9,11.3,3,3.8,5,6.3
Zach Collins,SAS,61,19,42,1398,63,23,42,54.8,6,10,60,53,84.1,10,15.9,2,3.2,4,6.3,5,7.9
Zach LaVine,CHI,76,37,39,2732,813,214,392,54.6,170,193,88.1,619,76.1,259,31.9,54,6.6,50,6.2,97,11.9
Zeke Nnaji,DEN,52,34,18,726,11,1,2,50,2,2,100,4,36.4,5,45.5,1,9.1,2,18.2,1,9.1
Ziaire Williams,MEM,37,21,16,561,64,12,27,44.4,5,6,83.3,30,46.9,25,39.1,7,10.9,9,14.1,3,4.7
Zion Williamson,NOP,29,17,12,956,470,133,228,58.3,85,114,74.6,363,77.2,123,26.2,25,5.3,45,9.6,56,11.9
