PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Nick Richards,CHA,65,21,44,1218,15,4,6,66.7,7,8,87.5,15,100,4,26.7,2,13.3,1,6.7,4,26.7
Nickeil Alexander-Walker,MIN,58,28,30,868,224,35,77,45.5,19,24,79.2,91,40.6,109,48.7,27,12.1,15,6.7,12,5.4
Nicolas Batum,LAC,78,44,34,1710,14,2,4,50,3,6,50,7,50,5,35.7,1,7.1,2,14.3,3,21.4
Nikola Jokic,DEN,69,48,21,2323,300,77,112,68.8,39,50,78,196,65.3,128,42.7,46,15.3,24,8,25,8.3
Nikola Jovic,MIA,15,7,8,204,10,0,3,0,0,0,0,0,0,5,50,0,0,2,20,0,0
Nikola Vucevic,CHI,81,39,42,2711,175,50,82,61,14,18,77.8,117,66.9,71,40.6,9,5.1,8,4.6,9,5.1
Noah Vonleh,BOS,23,17,6,172,7,2,4,50,2,2,100,6,85.7,1,14.3,0,0,1,14.3,1,14.3
Norman Powell,LAC,60,31,29,1567,512,135,248,54.4,82,99,82.8,362,70.7,157,30.7,33,6.4,41,8,50,9.8
O.G. Anunoby,TOR,67,33,34,2386,431,84,203,41.4,40,53,75.5,215,49.9,146,33.9,29,6.7,44,10.2,27,6.3
Obi Toppin,NYK,67,37,30,1051,84,20,42,47.6,11,12,91.7,52,61.9,31,36.9,7,8.3,4,4.8,6,7.1
Ochai Agbaji,UTA,59,29,30,1209,158,35,72,48.6,20,26,76.9,93,58.9,55,34.8,12,7.6,12,7.6,13,8.2
Olivier Sarr,OKC,9,5,4,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omer Yurtseven,MIA,9,5,4,83,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
Onyeka Okongwu,ATL,80,41,39,1849,35,13,26,50,1,4,25,30,85.7,4,11.4,0,0,1,2.9,2,5.7
Orlando Robinson,MIA,31,18,13,425,2,2,2,100,0,0,0,4,200,0,0,0,0,0,0,0,0
Oshae Brissett,IND,65,27,38,1083,160,30,77,39,50,72,69.4,111,69.4,32,20,6,3.8,13,8.1,36,22.5
Otto Porter Jr.,TOR,8,4,4,146,4,0,1,0,0,0,0,0,0,3,75,1,25,0,0,0,0
Ousmane Dieng,OKC,39,20,19,569,75,15,31,48.4,2,4,50,33,44,34,45.3,9,12,7,9.3,2,2.7
P.J. Tucker,PHI,75,48,27,1920,21,1,7,14.3,0,0,0,2,9.5,13,61.9,1,4.8,1,4.8,0,0
P.J. Washington,CHA,73,24,49,2380,421,107,232,46.1,32,45,71.1,252,59.9,128,30.4,28,6.7,28,6.7,23,5.5
PJ Dozier,SAC,16,11,5,79,18,3,8,37.5,0,0,0,6,33.3,9,50,3,16.7,1,5.6,0,0
Paolo Banchero,ORL,72,31,41,2430,718,153,342,44.7,140,196,71.4,465,64.8,194,27,43,6,56,7.8,98,13.6
Pascal Siakam,TOR,71,35,36,2652,972,195,419,46.5,163,212,76.9,569,58.5,368,37.9,94,9.7,49,5,107,11
Pat Connaughton,MIL,61,43,18,1443,118,21,41,51.2,8,14,57.1,51,43.2,61,51.7,19,16.1,4,3.4,7,5.9
Patrick Baldwin Jr.,GSW,31,15,16,226,22,5,11,45.5,3,4,75,13,59.1,9,40.9,3,13.6,0,0,2,9.1
Patrick Beverley,CHI,67,34,33,1817,310,43,84,51.2,22,30,73.3,111,35.8,175,56.5,49,15.8,27,8.7,15,4.8
Patrick Williams,CHI,81,39,42,2292,209,49,119,41.2,28,34,82.4,129,61.7,53,25.4,8,3.8,18,8.6,17,8.1
